valid_time,fxx,category,pod,tp,fn,n_obs
2026-03-21 15:00 UTC,1,Rain,0.6,6,4,10
2026-03-21 15:00 UTC,1,Snow,0.5556,5,4,9
2026-03-21 15:00 UTC,1,Freezing Rain,,0,0,0
2026-03-21 15:00 UTC,1,Ice Pellets,,0,0,0
2026-03-21 16:00 UTC,1,Rain,0.4286,6,8,14
2026-03-21 16:00 UTC,1,Snow,0.8,12,3,15
2026-03-21 16:00 UTC,1,Freezing Rain,0.0,0,1,1
2026-03-21 16:00 UTC,1,Ice Pellets,,0,0,0
2026-03-21 17:00 UTC,1,Rain,0.3636,4,7,11
2026-03-21 17:00 UTC,1,Snow,0.8571,12,2,14
2026-03-21 17:00 UTC,1,Freezing Rain,0.0,0,1,1
2026-03-21 17:00 UTC,1,Ice Pellets,0.0,0,1,1
2026-03-21 18:00 UTC,1,Rain,0.125,2,14,16
2026-03-21 18:00 UTC,1,Snow,1.0,13,0,13
2026-03-21 18:00 UTC,1,Freezing Rain,0.0,0,1,1
2026-03-21 18:00 UTC,1,Ice Pellets,,0,0,0
2026-03-21 19:00 UTC,1,Rain,0.3,3,7,10
2026-03-21 19:00 UTC,1,Snow,0.5833,7,5,12
2026-03-21 19:00 UTC,1,Freezing Rain,,0,0,0
2026-03-21 19:00 UTC,1,Ice Pellets,,0,0,0
2026-03-21 20:00 UTC,1,Rain,0.2308,3,10,13
2026-03-21 20:00 UTC,1,Snow,0.5714,4,3,7
2026-03-21 20:00 UTC,1,Freezing Rain,,0,0,0
2026-03-21 20:00 UTC,1,Ice Pellets,,0,0,0
2026-03-21 21:00 UTC,1,Rain,0.3,3,7,10
2026-03-21 21:00 UTC,1,Snow,0.4286,3,4,7
2026-03-21 21:00 UTC,1,Freezing Rain,,0,0,0
2026-03-21 21:00 UTC,1,Ice Pellets,,0,0,0
2026-03-21 22:00 UTC,1,Rain,0.4545,5,6,11
2026-03-21 22:00 UTC,1,Snow,0.8889,8,1,9
2026-03-21 22:00 UTC,1,Freezing Rain,,0,0,0
2026-03-21 22:00 UTC,1,Ice Pellets,,0,0,0
2026-03-21 23:00 UTC,1,Rain,0.0909,1,10,11
2026-03-21 23:00 UTC,1,Snow,0.9091,10,1,11
2026-03-21 23:00 UTC,1,Freezing Rain,,0,0,0
2026-03-21 23:00 UTC,1,Ice Pellets,,0,0,0
2026-03-22 00:00 UTC,1,Rain,0.4,4,6,10
2026-03-22 00:00 UTC,1,Snow,0.9231,12,1,13
